Unnamed: 0,Mass 1,Mass 2,Mass 3,t_merger,Flag,GW-kick-random,GW-kick-aligned
290,179296976.778708,57488762.08802316,370573258.22366345,7506890640.704913,Tr,382.695115506692,305.7890864863829
292,179296976.778708,57488762.08802316,370573258.22366345,4841023155.884259,Tr,813.764435365814,99.84377646892482
295,1079713058.0373971,99003287.80965573,21891372.297399975,6355240237.373641,Tr-ej,71.66016950363232,112.73372532502063
300,18954601.840004675,24256863.438026354,41350120.38754872,12272967665.879148,Tr,1119.056639710871,87.3334602147524
301,20685344.13749531,2896526.7192963683,75468937.21371776,12976739112.567509,Tr,1547.5394398768194,156.14150450072623
304,54925539.29748416,10860895.972204177,79771921.51815152,8228965744.6282,Tr,626.1743460876258,274.40160036429626
313,13401874.803524792,18418113.3342245,26600869.28434537,5919430496.073451,Tr,127.55896834665133,189.80189863831492
316,11036281.034883462,20496189.77508926,9505928.787330365,8336260196.554418,Tr-ej,340.13929733996474,97.05663868190898
317,9505928.787330365,20496189.77508926,11036281.034883462,6775650904.528621,Tr,1718.3352211671017,342.8908432854549
318,42403750.44984743,694759715.1508335,42722652.10724868,4822712071.22168,Tr,74.11962266129407,38.43869000902666
319,32826176.169075698,9394470.389186677,5887116.431241966,6541082604.379174,Tr-ej,401.8594916400994,262.6615861674022
320,32826176.169075698,5887116.431241966,9394470.389186677,7054240686.984049,Tr,1603.466965204831,261.3306862553539
322,32826176.169075698,5887116.431241966,9394470.389186677,7021134353.830021,Tr,231.03562567122515,105.81557257887162
323,32826176.169075698,5887116.431241966,9394470.389186677,7161261508.0767355,Tr,305.0580871898174,147.7405438079132
326,231888578.7348479,69166688.30555734,719074941.9493352,11382955882.97898,Tr,337.56973126637934,130.25602666544935
327,10379181.770785134,17133551.39052745,9278723.491076186,8372551125.521461,Tr,583.1019693533998,113.80754915291136
329,10379181.770785134,9278723.491076186,17133551.39052745,12092730274.292507,Tr,375.9701491186777,162.6929176632613
331,4025660.279961242,6739945.711063035,3668669.7182851713,6104479167.381457,Tr,166.392044857648,401.99441420485925
334,47587978.18617928,10508614.160362072,95874670.8802358,7802249602.399565,Tr,360.35688688549055,96.88682224069433
336,6102606.454408036,463971675.3813491,44353344.925362766,13111399965.6803,Tr,77.00519465335044,45.81758519317042
338,12585545720.157736,1258617.9389308365,13308649630.4055,11429728402.378683,Tr,481.5795764283883,166.40738485748358
341,82287711.64304821,45135610.130683586,264672869.63959172,6608667883.343209,Tr,725.5590242545704,200.16688567766988
342,34850369.7707275,16108429.494490637,27763919.189019732,12613361940.507969,Tr,992.2178461988541,195.1783710632668
344,34850369.7707275,27763919.189019732,16108429.494490637,10891505777.763618,Tr,602.0387111104505,38.19239114016226
345,34850369.7707275,16108429.494490637,27763919.189019732,6485749884.199637,Tr,1203.6561083195868,100.73808052581509
346,34850369.7707275,16108429.494490637,27763919.189019732,12021388721.38388,Tr,1111.262833163337,135.8364338915913
348,46295188.10906022,14763232.137355754,22332434.57875348,8980435591.30078,Tr,769.4787500938829,97.28623099277257
349,46295188.10906022,22332434.57875348,14763232.137355754,5298046835.6097,Tr-ej,123.98475884068132,205.4489858271293
355,661058008.5241789,114624503.94699134,320602293.3787604,7777574929.325448,Tr,1936.519464653478,105.38305654397863
358,311935651.2712021,94059016.55654462,243642179.40506452,8403279121.485178,Tr,812.7315297914616,259.14872644899543
359,232427318.56153673,9225642.653738787,1252702081.0298083,5822208668.391092,Tr,738.5473374337512,172.9532643295424
361,91331891.09908922,32537218.456699666,27135128.531636298,10773066858.322582,Tr-ej,264.4834734226779,123.85053988250246
366,317256169.71677524,36904530.26063541,64583673.4734903,7298486680.462671,Tr,157.3217512667815,136.71828263971236
