M1,M2,qin,t_merger,z_merger,t_form,merger_flag,bhid1,bhid2,f-gas,Vescape
1745930698.4031875,1217926.890405005,0.0006975803172021147,11946706926.088017,0.14258310011182845,10866238639.890097,Yes,9223372040962196321,9223372047804617559,0.015367420007646258,2438.710439079572
13925881.218342,7698411.253311278,0.5528132211246767,18708182810.180218,0,10869682220.310257,No,9223372039863498836,9223372048581859738,0.34183748877812686,1126.9375645055998
42778639.18866683,5039356.669593571,0.1178007707858231,42516006978.64136,0,10879794731.706749,No,8732417835837869177,9223372060401872950,0.19930520879540872,1337.0553864660635
25487464.12386304,12009958.357347643,0.4712104075549489,13516922712.652203,0.018095331395899198,10880705480.186047,Yes,9223372039379456301,9223372051969614422,0.375073131691046,1353.7528007848546
108543496.19605851,76452736.14649832,0.7043511479343201,12242758196.346794,0.11740750513715133,10899331781.358572,Yes,9223372037270538614,9223372037840139157,0.040924209843464,2366.0100532940232
2260011.0818402935,2051450.8202099754,0.9077171508997688,917527280732.2651,0,10900026014.252193,No,9223372042747801968,9223372043731388029,0.6256243912296434,649.8638426012456
31781760.84665452,12287745.232680405,0.38662883695992145,11542985703.465065,0.1783725227669518,10901414436.277723,Yes,9223372039869355999,9223372054790137149,0.18689053475518017,1153.9286883098184
10877410.957175652,3713627.966281467,0.341407342326406,29717667934.34727,0,10911532727.937513,No,89946331554265125,9223372038695276198,0.3603743422192984,1281.2967825490948
13247261.599423824,4290388.610822694,0.32386984877005076,13599418071.735256,0.012119521580141004,10915680948.75174,Yes,9223372037698739223,9223372044394128876,0.2613939673478756,1051.1054410170834
63762326.32753145,2394133.2082853373,0.03754777070063695,41252578725.99327,0,10918441000.410566,No,9223372041877674651,9223372041987079931,0.11849338889950808,1604.437658892927
1536049.8059883919,1072140.612063513,0.6979855782564482,31831114713.63688,0,10918441000.410566,No,9223372044174157045,9223372049217860913,0.6066743202793341,584.8845837016188
286728823.77346593,1169752.2674336117,0.004079646587459204,29725558729.69942,0,10929956716.412735,No,9223372042136145109,9223372043841599155,0.012586007291192493,2341.399609252711
39568512.35921563,2990362.5066493438,0.07557429704462666,12784530931.786858,0.07348546403397191,10946552633.78776,Yes,9223372041147413792,9223372043821802552,0.2112930494814004,1247.4193343960583
221833311.0308668,7014949.321516682,0.031622614696223836,37295011388.14033,0,10956703314.409136,No,9223372037195828955,9223372038767696043,0.012182991418857033,1847.1936175058274
33052406.465956006,8137144.680378092,0.24618917502298523,11793242667.917097,0.1559829771303825,10961323228.608309,Yes,9223372038996981505,9223372053831965425,0.32083957848891403,1024.9496220244284
28010152.928835195,4572918.396714762,0.16325931558935358,20527088527.81749,0,10963171013.387222,No,9223372040965508306,9223372042219773779,0.20916758631562352,1196.1159059449235
1268896138.520325,2186126.7595646386,0.0017228571300673256,19379828383.29515,0,10966635331.281626,No,9223372041806337015,9223372053802187447,0.011209972311849906,2472.4327251607256
70233843.18140121,47929809.26467949,0.6824318176763521,13448281341.555017,0.0231065569642163,10968482818.94394,Yes,9223372046861540753,9223372055081836617,0.1539641013451072,2343.4877425443096
243518636.52522632,3382589.8496391317,0.013890476301548797,11584049735.00098,0.1746517141017534,10971007551.654272,Yes,9223372041809466866,9223372051023911222,0.03769001370924082,2157.267368910555
